"ID","scientific_name","common_name","latitude","longitude","iso_country_code","taxon_id","year","basis_of_record","provider","resource","occurrence_date","collector","SPACER","id","type","language","institutionCode","collectionCode","basisOfRecord","catalogNumber","occurrenceRemarks","recordedBy","individualCount","samplingProtocol","eventDate","year.orig","month","day","verbatimEventDate","country","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","taxonID","nameAccordingToID","scientificName","nameAccordingTo","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","vernacularName","taxonRemarks"
11,"Hyla cinerea","Green Treefrog",25.48425,-80.3464362,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",11,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",11,"CALLING","Marquette E. Crockett/Amber Dove",3,"Visual Encounter","2002-07-02",2002,7,2,"7/2/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
12,"Bufo marinus","Cane Toad",25.48425,-80.3464362,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",12,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",12,"OUTSIDE PLOT","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
13,"Hyla cinerea","Green Treefrog",25.48425,-80.3464362,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",13,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",13,"OUTSIDE PLOT","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
14,"Osteopilus septentrionalis","Cuban Treefrog",25.48425,-80.3464362,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",14,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",14,"OUTSIDE PLOT","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
15,"Hyla cinerea","Green Treefrog",25.46685,-80.3461622,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",15,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",15,"OUTSIDE PLOT","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
16,"Rana grylio","Pig Frog",25.46685,-80.3461622,"US",173442,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",16,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",16,"OUTSIDE PLOT","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173442,173442,"Rana grylio","Integrated Taxonomic Information System (ITIS), 2013.","Rana","grylio","","Species","Stejneger, 1901","Pig Frog","Rana grylio"
17,"Acris gryllus","Cricket Frog",25.493,-80.34220013,"US",173518,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",17,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",17,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173518,173518,"Acris gryllus","Integrated Taxonomic Information System (ITIS), 2013.","Acris","gryllus","","Species","(LeConte, 1825)","Cricket Frog","Acris gryllus"
18,"Anolis sagrei","Brown Anole",25.493,-80.34220013,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",18,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",18,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-07-02",2002,7,2,"7/2/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
19,"Eleutherodactylus planirostris","Greenhouse Frog",25.493,-80.34220013,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",19,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",19,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
20,"Hyla cinerea","Green Treefrog",25.493,-80.34220013,"US",173505,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-07-02","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",20,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",20,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-07-02",2002,7,2,"7/2/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173505,173505,"Hyla cinerea","Integrated Taxonomic Information System (ITIS), 2013.","Hyla","cinerea","","Species","(Schneider, 1799)","Green Treefrog","Hyla cinerea"
