"ID","scientific_name","common_name","latitude","longitude","iso_country_code","taxon_id","year","basis_of_record","provider","resource","occurrence_date","collector","SPACER","id","type","language","institutionCode","collectionCode","basisOfRecord","catalogNumber","occurrenceRemarks","recordedBy","individualCount","samplingProtocol","eventDate","year.orig","month","day","verbatimEventDate","country","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","taxonID","nameAccordingToID","scientificName","nameAccordingTo","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","vernacularName","taxonRemarks"
87,"Anolis sagrei","Brown Anole",25.49662,-80.17991089,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",87,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",87,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2820194,582421,"UTM 17","World Geodetic System of 1984",25.49662,-80.17991089,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
88,"Bufo marinus","Cane Toad",25.49662,-80.17991089,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",88,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",88,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-10-29",2002,10,29,"10/29/2002","US",2820194,582421,"UTM 17","World Geodetic System of 1984",25.49662,-80.17991089,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
89,"Eleutherodactylus planirostris","Greenhouse Frog",25.49662,-80.17991089,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",89,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",89,"","Marquette E. Crockett/Amber Dove",2,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2820194,582421,"UTM 17","World Geodetic System of 1984",25.49662,-80.17991089,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
90,"Sphaerodactylus notatus notatus","Florida Reef Gecko",25.49662,-80.17991089,"US",208985,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",90,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",90,"COLLECTED","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2820194,582421,"UTM 17","World Geodetic System of 1984",25.49662,-80.17991089,"World Geodetic System of 1984",71,1e-05,208985,208985,"Sphaerodactylus notatus notatus","Integrated Taxonomic Information System (ITIS), 2013.","Sphaerodactylus","notatus","notatus","Subspecies","Baird, 1859","Florida Reef Gecko","Sphaerodactylus notatus notatus"
91,"Anolis sagrei","Brown Anole",25.50321,-80.17865226,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",91,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",91,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2820924,582543,"UTM 17","World Geodetic System of 1984",25.50321,-80.17865226,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
92,"Anolis sagrei","Brown Anole",25.52276,-80.17519536,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",92,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",92,"","Marquette E. Crockett/Amber Dove",2,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2823091,582877,"UTM 17","World Geodetic System of 1984",25.52276,-80.17519536,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
93,"Anolis sagrei","Brown Anole",25.5217,-80.17505331,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",93,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",93,"","Marquette E. Crockett/Amber Dove",3,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2822974,582892,"UTM 17","World Geodetic System of 1984",25.5217,-80.17505331,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
94,"Eleutherodactylus planirostris","Greenhouse Frog",25.5217,-80.17505331,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-10-29","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",94,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",94,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-10-29",2002,10,29,"10/29/2002","US",2822974,582892,"UTM 17","World Geodetic System of 1984",25.5217,-80.17505331,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
95,"Anolis sagrei","Brown Anole",25.46685,-80.3461622,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-05","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",95,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",95,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-11-05",2002,11,5,"11/5/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
96,"Osteopilus septentrionalis","Cuban Treefrog",25.46685,-80.3461622,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-05","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",96,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",96,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-11-05",2002,11,5,"11/5/2002","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
97,"Osteopilus septentrionalis","Cuban Treefrog",25.51982,-80.33235109,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-05","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",97,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",97,"","Marquette E. Crockett/Amber Dove",2,"Visual Encounter","2002-11-05",2002,11,5,"11/5/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
98,"Bufo marinus","Cane Toad",25.48944,-80.34673643,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-14","Marquette","<--BISON | GBIF-->",98,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",98,"Mainland (levee rd. near 20G flood gate)","Marquette",1,"Opportunistic Encounter","2002-11-14",2002,11,14,"11/14/2002","US",2819306,565658,"UTM 17","World Geodetic System of 1984",25.48944,-80.34673643,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
99,"Anolis sagrei","Brown Anole",25.5217,-80.17505331,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",99,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",99,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-11-14",2002,11,14,"11/14/2002","US",2822974,582892,"UTM 17","World Geodetic System of 1984",25.5217,-80.17505331,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
100,"Hemidactylus mabouia","Amerafrican House Gecko",25.52347,-80.17444412,"US",174058,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-14","Marquette","<--BISON | GBIF-->",100,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",100,"Sands Key (engine house building)","Marquette",1,"Opportunistic Encounter","2002-11-14",2002,11,14,"11/14/2002","US",2823170,582952,"UTM 17","World Geodetic System of 1984",25.52347,-80.17444412,"World Geodetic System of 1984",71,1e-05,174058,174058,"Hemidactylus mabouia","Integrated Taxonomic Information System (ITIS), 2013.","Hemidactylus","mabouia","","Species","(Moreau De Jonnès, 1818)","Amerafrican House Gecko","Hemidactylus mabouia"
101,"Anolis sagrei","Brown Anole",25.4256,-80.20574873,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-25","GC/Amber Dove","<--BISON | GBIF-->",101,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",101,"","GC/Amber Dove",1,"Visual Encounter","2002-11-25",2002,11,25,"11/25/2002","US",2812313,579871,"UTM 17","World Geodetic System of 1984",25.4256,-80.20574873,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
102,"Anolis sagrei","Brown Anole",25.44188,-80.19951584,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-25","GC/Amber Dove","<--BISON | GBIF-->",102,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",102,"","GC/Amber Dove",1,"Visual Encounter","2002-11-25",2002,11,25,"11/25/2002","US",2814119,580487,"UTM 17","World Geodetic System of 1984",25.44188,-80.19951584,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
103,"Eleutherodactylus planirostris","Greenhouse Frog",25.44188,-80.19951584,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-25","GC/Amber Dove","<--BISON | GBIF-->",103,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",103,"","GC/Amber Dove",2,"Visual Encounter","2002-11-25",2002,11,25,"11/25/2002","US",2814119,580487,"UTM 17","World Geodetic System of 1984",25.44188,-80.19951584,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
104,"Eleutherodactylus planirostris","Greenhouse Frog",25.45336,-80.19142338,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-11-25","GC/Amber Dove","<--BISON | GBIF-->",104,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",104,"","GC/Amber Dove",1,"Visual Encounter","2002-11-25",2002,11,25,"11/25/2002","US",2815396,581293,"UTM 17","World Geodetic System of 1984",25.45336,-80.19142338,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
105,"Anolis sagrei","Brown Anole",25.493,-80.34220013,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-12-10","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",105,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",105,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2002-12-10",2002,12,10,"12/10/2002","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
106,"Anolis sagrei","Brown Anole",25.51982,-80.33235109,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-12-10","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",106,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",106,"","Marquette E. Crockett/Amber Dove",2,"Visual Encounter","2002-12-10",2002,12,10,"12/10/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
107,"Bufo marinus","Cane Toad",25.51982,-80.33235109,"US",173489,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-12-10","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",107,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",107,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2002-12-10",2002,12,10,"12/10/2002","US",2822677,567087,"UTM 17","World Geodetic System of 1984",25.51982,-80.33235109,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
108,"Osteopilus septentrionalis","Cuban Treefrog",25.48425,-80.3464362,"US",173538,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",108,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",108,"","Marquette E. Crockett/Amber Dove",3,"Visual Encounter","2003-01-14",2003,1,14,"1/14/2003","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
109,"Rana sphenocephala","Leapord Frog",25.48425,-80.3464362,"US",173436,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",109,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",109,"IN CANAL","Marquette E. Crockett/Amber Dove",1,"Vocalization","2003-01-14",2003,1,14,"1/14/2003","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173436,173436,"Rana sphenocephala","Integrated Taxonomic Information System (ITIS), 2013.","Rana","sphenocephala","","Species","Cope, 1886","Leapord Frog","Rana sphenocephala"
110,"Osteopilus septentrionalis","Cuban Treefrog",25.46685,-80.3461622,"US",173538,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",110,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",110,"","Marquette E. Crockett/Amber Dove",3,"Visual Encounter","2003-01-14",2003,1,14,"1/14/2003","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
111,"Rana sphenocephala","Leapord Frog",25.46685,-80.3461622,"US",173436,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",111,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",111,"IN CANAL","Marquette E. Crockett/Amber Dove",1,"Vocalization","2003-01-14",2003,1,14,"1/14/2003","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173436,173436,"Rana sphenocephala","Integrated Taxonomic Information System (ITIS), 2013.","Rana","sphenocephala","","Species","Cope, 1886","Leapord Frog","Rana sphenocephala"
112,"Anolis sagrei","Brown Anole",25.493,-80.34220013,"US",173903,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-14","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",112,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",112,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2003-01-14",2003,1,14,"1/14/2003","US",2819702,566112,"UTM 17","World Geodetic System of 1984",25.493,-80.34220013,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
113,"Rana sphenocephala","Leapord Frog",25.46751,-80.34530314,"US",173436,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-23","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",113,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",113,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2003-01-23",2003,1,23,"1/23/2003","US",2816878,565814,"UTM 17","World Geodetic System of 1984",25.46751,-80.34530314,"World Geodetic System of 1984",71,1e-05,173436,173436,"Rana sphenocephala","Integrated Taxonomic Information System (ITIS), 2013.","Rana","sphenocephala","","Species","Cope, 1886","Leapord Frog","Rana sphenocephala"
114,"Rana sphenocephala","Leapord Frog",25.46793,-80.3441967,"US",173436,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-23","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",114,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",114,"","Marquette E. Crockett/Amber Dove",1,"Vocalization","2003-01-23",2003,1,23,"1/23/2003","US",2816925,565925,"UTM 17","World Geodetic System of 1984",25.46793,-80.3441967,"World Geodetic System of 1984",71,1e-05,173436,173436,"Rana sphenocephala","Integrated Taxonomic Information System (ITIS), 2013.","Rana","sphenocephala","","Species","Cope, 1886","Leapord Frog","Rana sphenocephala"
115,"Anolis sagrei","Brown Anole",25.50321,-80.17865226,"US",173903,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-28","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",115,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",115,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2003-01-28",2003,1,28,"1/28/2003","US",2820924,582543,"UTM 17","World Geodetic System of 1984",25.50321,-80.17865226,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
116,"Anolis sagrei","Brown Anole",25.5217,-80.17505331,"US",173903,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-01-28","Marquette E. Crockett/Amber Dove","<--BISON | GBIF-->",116,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",116,"","Marquette E. Crockett/Amber Dove",1,"Visual Encounter","2003-01-28",2003,1,28,"1/28/2003","US",2822974,582892,"UTM 17","World Geodetic System of 1984",25.5217,-80.17505331,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
117,"Bufo marinus","Cane Toad",25.40891,-80.21202237,"US",173489,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-02-18","Marquette E. Crockett/Kenneth G. Rice","<--BISON | GBIF-->",117,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",117,"","Marquette E. Crockett/Kenneth G. Rice",1,"Vocalization","2003-02-18",2003,2,18,"2/18/2003","US",2810461,579251,"UTM 17","World Geodetic System of 1984",25.40891,-80.21202237,"World Geodetic System of 1984",71,1e-05,173489,173489,"Bufo marinus","Integrated Taxonomic Information System (ITIS), 2013.","Bufo","marinus","","Species","(Linnaeus, 1758)","Cane Toad","Bufo marinus"
118,"Anolis sagrei","Brown Anole",25.48425,-80.3464362,"US",173903,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-02-19","Marquette E. Crockett/BRANDON","<--BISON | GBIF-->",118,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",118,"","Marquette E. Crockett/BRANDON",1,"Visual Encounter","2003-02-19",2003,2,19,"2/19/2003","US",2818731,565691,"UTM 17","World Geodetic System of 1984",25.48425,-80.3464362,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
119,"Osteopilus septentrionalis","Cuban Treefrog",25.46685,-80.3461622,"US",173538,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-02-19","Marquette E. Crockett/BRANDON","<--BISON | GBIF-->",119,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",119,"","Marquette E. Crockett/BRANDON",1,"Vocalization","2003-02-19",2003,2,19,"2/19/2003","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
120,"Osteopilus septentrionalis","Cuban Treefrog",25.46685,-80.3461622,"US",173538,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-02-19","Marquette E. Crockett/BRANDON","<--BISON | GBIF-->",120,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",120,"","Marquette E. Crockett/BRANDON",2,"Visual Encounter","2003-02-19",2003,2,19,"2/19/2003","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
121,"Rana sphenocephala","Leapord Frog",25.46685,-80.3461622,"US",173436,2003,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2003-02-19","Marquette E. Crockett/BRANDON","<--BISON | GBIF-->",121,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",121,"","Marquette E. Crockett/BRANDON",1,"Vocalization","2003-02-19",2003,2,19,"2/19/2003","US",2816804,565728,"UTM 17","World Geodetic System of 1984",25.46685,-80.3461622,"World Geodetic System of 1984",71,1e-05,173436,173436,"Rana sphenocephala","Integrated Taxonomic Information System (ITIS), 2013.","Rana","sphenocephala","","Species","Cope, 1886","Leapord Frog","Rana sphenocephala"
